University_Name,Alumni,Staff,Hici,N&S,PUB,PCP
Harvard University,100,97.1,100,100,100,85.7
Stanford University,45.3,88.1,73.1,83.9,73.1,59.6
Massachusetts Institute of Technology (MIT),71.9,82.8,55.2,70.8,59.1,73.6
University of Cambridge,78.2,90.8,45.1,59.8,67.2,60.6
"University of California, Berkeley",65.3,76.5,46.9,62.8,57.1,55.5
University of Oxford,49.5,59.7,51.3,57.2,77.1,47.9
Princeton University,61.2,100,26,51.3,42.3,75.3
California Institute of Technology,55.7,63.4,29.8,57.9,41,100
Columbia University,59.4,63.2,42.7,51.9,67,31.6
University of Chicago,59,84.5,32.5,44.9,53,44.2
Yale University,50.3,49.6,45.1,54.3,65.2,38.6
Paris-Saclay University,36.9,73.8,33.8,33.9,65.7,47.1
Cornell University,42.2,44.2,41.7,55.8,63.9,45
University of Pennsylvania,32,39.6,51.7,44.5,68.5,42.6
"University of California, Los Angeles",29.8,45,44.6,51,67.2,29.1
University College London,27,31.5,48.7,41.7,78.5,34.1
Johns Hopkins University,34,34.6,45.6,38.7,74.6,29.3
University of Washington,22.6,33.2,43.7,52.3,71.4,25.9
"University of California, San Diego",18,32.4,54.5,51.7,60.8,32.7
"University of California, San Francisco",0,41.9,49.6,55.6,60.1,31.1
ETH Zurich,26.5,42.2,30.5,53.3,54.6,48.8
Tsinghua University,9,0,57.5,47.1,86.2,34
Washington University in St. Louis,20.8,27.4,47.8,39.1,53.2,36.7
Peking University,10.4,0,41.2,44,89.2,32.2
Imperial College London,12.7,31.3,37.4,36.2,63.7,39.2
University of Toronto,16.4,13,39.1,36.6,82,30.3
Zhejiang University,0,0,41.2,37,99.5,27
The University of Tokyo,36.3,23.5,21.6,45.3,68.6,24
Rockefeller University,15.6,57.6,26.8,41.7,16,74.4
University of Michigan-Ann Arbor,37.1,9.8,33.2,39.1,74,23.3
New York University,26.5,35.1,29.8,40.1,56.5,19.9
University of Copenhagen,18.7,20.6,30.5,36.3,66.4,36.1
PSL University,50.3,45.1,9.2,23.7,52.6,50
Northwestern University,12.7,25.8,38.5,38.3,57.6,28.9
University of North Carolina at Chapel Hill,7.3,21.9,41.7,34.1,59.8,32.2
University of Wisconsin - Madison,28,31.3,27.6,31.7,59.9,24
The University of Melbourne,14.7,11.3,42.2,24.6,72,32.2
Shanghai Jiao Tong University,0,0,32.5,28.3,95.7,27.4
Duke University,19.4,17.8,33.2,37.7,60.1,22.1
The University of Edinburgh,25.4,22.6,35.7,28.9,55.2,27.3
Sorbonne University,38.6,23.4,20.6,29.2,61.4,27.4
University of Science and Technology of China,0,0,41.2,34.2,76.1,31.3
Karolinska Institute,22.6,23.8,22.5,25.1,56,53.2
University of Munich,24.9,19.2,25.2,32,55.2,42.7
The University of Texas at Austin,23.2,21.6,32.5,29,55.6,28.6
Kyoto University,33.6,38.8,17.2,25.7,55.2,21.7
"University of Minnesota, Twin Cities",26,15,36.2,26.9,60.5,22.7
Technical University of Munich,34,17.2,22.5,26.9,55.3,47.9
University of British Columbia,13.7,17.2,31.9,29.6,65.5,24.1
Heidelberg University,18,21.1,20.6,32.5,53.6,50.3
Fudan University,0,0,36.8,31.1,80.5,27.4
The University of Manchester,14.7,29.1,22.5,30.5,57.3,28.6
King's College London,23.2,16.8,41.2,18.5,57.5,29.4
The University of Texas Southwestern Medical Center at Dallas,17.2,31.4,31.2,34.4,39.9,27.4
Utrecht University,20.8,17.2,35.1,24.2,57.3,27.6
University of Illinois at Urbana-Champaign,25.4,33,17.2,29.9,51.9,26.1
Swiss Federal Institute of Technology Lausanne,0,29.1,25.2,38.2,39.8,50.7
University of Geneva,37.4,37.3,13,25.7,43.2,37.9
"University of Maryland, College Park",17.2,18.4,29.8,35.6,48.5,31.5
Université Paris Cité,13.9,10.1,34.4,27.9,59.5,25
University of Bonn,30.3,33,18.4,20.7,41.8,42.6
University of Southern California,0,29.1,31.2,23.6,53.3,25
The University of Queensland,11.6,0,39.1,24.1,63.6,34.1
"University of California, Santa Barbara",13.7,36,18.4,35.2,34.5,35.8
University of Colorado at Boulder,11.6,31.4,19.5,32.2,43.8,31.9
Vanderbilt University,13.7,26.1,26,21,51.3,33.5
University of Zurich,0,20.6,23.5,30.7,54.5,35.8
National University of Singapore,0,0,40.7,24.9,63.1,33.5
University of Groningen,12.7,22.6,26,21.3,54.4,28.3
The University of Hong Kong,0,0,48.7,24.2,56.5,29.9
Weizmann Institute of Science,16.4,15,32.5,39.7,26.3,45.3
University of Oslo,24.9,29.1,18.4,15,54.4,29.2
