"University_Name","Alumni","Award","Hici","N.S","PUB","PCP"
"Harvard University",9.42016168552458,8.13141645262907,8.12855926648539,8.40676868249253,4.73251216362739,7.48837926296609
"Stanford University",4.02240955855805,7.34732605684657,5.67676119001185,6.8932191484014,2.76663166372093,4.52784575956874
"Massachusetts Institute of Technology (MIT)",6.64727622359114,6.88558393488576,4.04526730269302,5.66169747780552,1.74349683105585,6.11587139357498
"University of Cambridge",7.26895517057265,7.58255317558132,3.12470371264162,4.6275953116563,2.33545341281208,4.64127616199775
"University of California, Berkeley",5.99599351722954,6.33672065783802,3.28876455047256,4.90962317515154,1.5973347121037,4.06278110960976
"University of Oxford",4.43686218987907,4.87308525237735,3.68980215405931,4.38317116329375,3.05895590162524,3.20071005114923
"Princeton University",5.59140880570189,8.38406780238121,1.3838359334355,3.82851636508645,0.515735031857765,6.30870307770431
"California Institute of Technology",5.04867321706723,5.19543352619904,1.7301865910786,4.44897766477598,0.420729654538866,9.11043401770104
"Columbia University",5.41378624942145,5.17800929518166,2.90595592886703,3.88492193778549,2.32083720091686,1.35179449155625
"University of Chicago",5.37431457024802,7.03368989853357,1.97627784782502,3.22685692296326,1.29770236825179,2.78101756216187
"Yale University",4.51580554822593,3.99316158599921,3.12470371264162,4.11054422858169,2.18929129385992,2.14580730855937
"Paris-Saclay University",3.19350429591603,6.10149353910327,2.09476623070292,2.19275475681405,2.22583182359796,3.10996572920602
"Cornell University",3.71650404496397,3.52270734852971,2.81481101896095,4.25155816032931,2.09428591654102,2.87176188410508
"University of Pennsylvania",2.70997622604151,3.12195003512977,3.72626011802175,3.18925320783057,2.43045879013098,2.59952891827544
"University of California, Los Angeles",2.49288199058765,3.59240427259927,3.07913125768858,3.80031357873692,2.33545341281208,1.0682184854837
"University College London",2.21658023637364,2.41626867892552,3.45282538830351,2.92602720190167,3.16126938489174,1.63537049762879
"Johns Hopkins University",2.90733462190866,2.68634425969505,3.17027616759466,2.64399933840643,2.87625325293504,1.09090456596951
"University of Washington",1.78239176546591,2.56437464257333,2.99710083877311,3.92252565291819,2.6423938626116,0.705241197710848
"University of California, San Diego",1.32846745497147,2.49467771850377,3.98146586575877,3.86612008021915,1.86773463216518,1.47656793422817
"University of California, San Francisco",-0.44775810783287,3.32232869182974,3.53485580721898,4.23275630276296,1.81657789053193,1.29507929034174
"ETH Zurich",2.16724063740685,3.34846503835583,1.79398802801286,4.01653494074994,1.41463206341351,3.30279741333535
"Tsinghua University",0.4403546735693,-0.328047706313226,4.25490059547701,3.43367735619311,3.72399354285753,1.62402745738589
"Washington University in St. Louis",1.60476920918548,2.05907194306905,3.37079496938803,2.68160305353913,1.312318580147,1.93028954394424
"Peking University",0.578505550676304,-0.328047706313226,2.76923856400791,3.14224856391469,3.94323672128576,1.41985273301366
"Imperial College London",0.805467705923525,2.39884444790813,2.42288790636481,2.40897611882707,2.07966970464581,2.21386555001678
"University of Toronto",1.17058073827775,0.80452730981705,2.57783425320514,2.44657983395976,3.41705309305801,1.20433496839852
"Zhejiang University",-0.44775810783287,-0.328047706313226,2.76923856400791,2.48418354909246,4.69597163388935,0.830014640382767
"The University of Tokyo",3.13429677715588,1.71929943822997,0.98279832984875,3.26446063809596,2.43776689607858,0.489723433095715
"Rockefeller University",1.09163737993089,4.69013082669477,1.45675186136036,2.92602720190167,-1.40629683236305,6.2066157155182
"University of Michigan-Ann Arbor",3.21324013550274,0.525739613538828,2.04007928475927,2.68160305353913,2.8324046172494,0.410322151395402
"New York University",2.16724063740685,2.72990483723852,1.7301865910786,2.77561234137088,1.55348607641805,0.0246587831367427
"University of Copenhagen",1.39754289352497,1.46664808847783,1.79398802801286,2.41837704761024,2.27698856523121,1.86223130248683
"PSL University",4.51580554822593,3.60111638810796,-0.147398552986637,1.23386002093023,1.26846994446136,3.43891389625017
"Northwestern University",0.805467705923525,1.91967809492994,2.52314730726149,2.60639562327373,1.63387524184174,1.0455324049979
"University of North Carolina at Chapel Hill",0.272600037082223,1.57990559009085,2.81481101896095,2.2115566143804,1.79465357268911,1.41985273301366
"University of Wisconsin - Madison",2.31525943430721,2.39884444790813,1.52966778928523,1.9859343235842,1.80196167863672,0.489723433095715
"The University of Melbourne",1.00282610179067,0.656421346169245,2.86038347391399,1.3184683799788,2.68624249829724,1.41985273301366
"Shanghai Jiao Tong University",-0.44775810783287,-0.328047706313226,1.97627784782502,1.66630274495626,4.41826360788026,0.875386801354374
"Duke University",1.46661833207847,1.22270885423438,2.04007928475927,2.54999005057469,1.81657789053193,0.274205668480581
"The University of Edinburgh",2.05869351967992,1.64089039865172,2.26794155952447,1.72270831765531,1.45848069909916,0.864043761111472
"Sorbonne University",3.3612589324031,1.71058732272127,0.891653419942671,1.75091110400484,1.91158326785083,0.875386801354374
"University of Science and Technology of China",-0.44775810783287,-0.328047706313226,2.76923856400791,2.22095754316357,2.98587484214916,1.31776537082754
"Karolinska Institute",1.78239176546591,1.74543578475605,1.06482874876422,1.36547302389467,1.51694554668002,3.80189118402302
"University of Munich",2.00935392071313,1.34467847135611,1.31092000551064,2.01413710993373,1.45848069909916,2.61087195851834
"The University of Texas at Austin",1.84159928422606,1.55376924356477,1.97627784782502,1.73210924643849,1.48771312288959,1.0115032842692
"Kyoto University",2.86786294273523,3.05225311106021,0.581760726262,1.42187859659372,1.45848069909916,0.228833507508974
"University of Minnesota, Twin Cities",2.11790103844007,0.978769619990939,2.31351401447751,1.53468974199182,1.84581031432236,0.342263909937992
"Technical University of Munich",2.90733462190866,1.17043616118222,1.06482874876422,1.53468974199182,1.46578880504676,3.20071005114923
"University of British Columbia",0.9041469038571,1.17043616118222,1.92159090188137,1.78851481913753,2.21121561170275,0.501066473338616
"Heidelberg University",1.32846745497147,1.5102086660213,0.891653419942671,2.0611417538496,1.34155100393743,3.47294301697887
"Fudan University",-0.44775810783287,-0.328047706313226,2.36820096042116,1.92952875088515,3.3074315038439,0.875386801354374
"The University of Manchester",1.00282610179067,2.20717790671685,1.06482874876422,1.87312317818611,1.61195092399892,1.0115032842692
